name,n_trees,max_depth,min_samples_split,decision_threshold,smote_N,accuracy,f1
Randomforest_dt9,100,10,2,0.1,0,0.8497375328083989,0.3924313990103464
Randomforest_dt8,100,10,2,0.2,0,0.9035433070866141,0.2954749103942652
Randomforest_dt7,100,10,2,0.3,0,0.8989501312335959,0.20023131203700995
Randomforest_dt6,100,10,2,0.4,0,0.8989501312335958,0.20354319593450027
Randomforest_dt5,100,10,2,0.5,0,0.8943569553805774,0.1372096960076054
