name,n_trees,max_depth,min_samples_split,decision_threshold,smote_N,accuracy,f1
Randomforest_gen_1,100,15,2,0.5,2,0.9232283464566929,0.613294247837809
Randomforest_gen_2,100,15,2,0.35,2,0.8943569553805775,0.6109826339442084
Randomforest_gen_3,100,15,2,0.2,2,0.6988188976377953,0.38522153361821765
Randomforest_gen_4,100,15,2,0.5,4,0.9009186351706037,0.6308758654119478
Randomforest_gen_5,100,15,2,0.35,4,0.8064304461942255,0.4981538111933515
Randomforest_gen_6,100,15,2,0.2,4,0.6292650918635171,0.35924341732460746
