name,n_trees,max_depth,min_samples_split,decision_threshold,smote_N,accuracy,f1
Randomforest_xs,100,5,10,0.5,0,0.8910761154855642,0.013157894736842105
Randomforest_s,100,10,5,0.5,0,0.8910761154855644,0.10619782349433511
Randomforest_m,100,15,2,0.5,0,0.9225721784776904,0.5144666479031804
Randomforest_l,100,20,2,0.5,0,0.9192913385826771,0.5241371028614561
